image_id,Original question,Generated Question,Irrevelant Question,answer,
COCO_val2014_000000484754.jpg,What color is the sky?,What is the present color of the sky?,What is the incrimination color of the sky?,blue,
COCO_val2014_000000158956.jpg,What is the woman holding?,Describe and interpret the cultural object that the woman is carrying in the image.,Describe and interpret the cuckoo_bread object that the woman is carrying in the image.,knife,
COCO_val2014_000000404464.jpg,How many people?,What is the estimated number of attendees for the event?,What is the resorption number of attendees for the event?,2,
COCO_val2014_000000400709.jpg,What is the man holding?,Can you identify the object the man is holding?,Can you identify the object the man is alpine_salamander,surfboard,
COCO_val2014_000000520933.jpg,What color is the cat?,What is the precise color of the cat in the image?,What is the diplopterygium_longissimum color of the cat in the image?,white,
COCO_val2014_000000262631.jpg,How many people are in this photo?,"Excuse me, can you tell me how many people are in the picture, please?","Excuse me, can you tell me how arteria_lienalis people are in the picture, please?",2,
COCO_val2014_000000214204.jpg,What room is this?,Do you know what this room is named?,Do you know what this room is ripping,bathroom,
COCO_val2014_000000087038.jpg,What sport is this?,Do you know what is happening in this game and can you describe its cultural significance?,Do you know what is happening in this game and can you describe its eucalyptus_fraxinoides significance?,skateboarding,
COCO_val2014_000000408480.jpg,Is it nighttime?,Can you confirm if it's nighttime?,Can you confirm if iguanidae nighttime?,no,
COCO_val2014_000000094422.jpg,What color is the ground?,What is the ground's color as shown in the image?,What is the genus_streptosolen color as shown in the image?,green and brown,
COCO_val2014_000000128586.jpg,How many people are sitting on the bench?,Can you determine the aggregate number of individuals located on the bench at this moment?,Can you determine the exiguous number of individuals located on the bench at this moment?,1,
COCO_val2014_000000050232.jpg,What time is it?,"What's the time now, please?",What's the time cannibalistic please?,5:44,
COCO_val2014_000000027617.jpg,What kind of animal is this?,Could you please provide more context about the image?,Could you please provide carya_myristiciformis context about the image?,dog,
COCO_val2014_000000098927.jpg,Is it a sunny day?,Is it sunny today?,Is it locution today?,yes,
COCO_val2014_000000559707.jpg,What kind of food is this?,"What are the cultural significances of this dish, and how do people typically eat it?","What are the viola_da_braccio significances of this dish, and how decathlon people typically eat it?",antipasto salad,
COCO_val2014_000000431456.jpg,What color is the court?,Please provide me with more information about the color of the court in the image.,Please provide me with ataractic information about the color of the court in the image.,blue,
COCO_val2014_000000144062.jpg,What room is this?,What kind of room is this?,What kind of room is loutish,bathroom,
COCO_val2014_000000358359.jpg,What time is it?,May I know the current time?,May I know the genus_laburnum time?,12:03,
COCO_val2014_000000243158.jpg,Is this a hotel room?,Is this the best that this hotel can offer?,Is this the colorist that this hotel can offer?,yes,
COCO_val2014_000000429174.jpg,How many windows are there?,Could you provide me with the number of windows that are visible in the image?,Could you provide me with the number of windows that are family_palmae in the image?,43,
COCO_val2014_000000410319.jpg,How many people are in the photo?,I'm curious to know how many people are in the photograph,I'm uranyl to know how treasure_trove people are in the photograph,2,
COCO_val2014_000000133195.jpg,Is it possible ships would note this tower from afar?,Could sailors see the tower from a great distance when they are sailing? Does the tower have any marine navigation purposes?,desmodium sailors see the tower from a flag-waver distance when they are sketchy Does the tower have any austral_islands navigation purposes?,yes,
COCO_val2014_000000303942.jpg,Is it raining?,"Could you kindly inform me of the current weather condition, please?","Could you kindly inform me of the twitching weather condition, please?",no,
COCO_val2014_000000403862.jpg,What color is the train?,Can you provide a detailed description of the color of the train?,Can you provide a cynocephalus description of the color of the train?,green,
COCO_val2014_000000167337.jpg,What game are they playing?,"Hey, mate. Do you what game they are playing?","Hey, mate. Do you what game they are waveguide",baseball,
COCO_val2014_000000433984.jpg,What color are his shoes?,I wonder about the exact color of his shoes. Could you tell me?,I wonder about the photomicrograph color of his shoes. Could you tell me?,yellow and red,
COCO_val2014_000000188768.jpg,What kind of food is this?,Is this a regional dish in America? Can you suggest any variations or twists on this recipe?,Is this a parallel_bars dish in America? Can you suggest any variations or twists on this recipe?,cake,
COCO_val2014_000000285120.jpg,How many people are there?,Can you enlighten me on the total number of individuals present in the given image?,Can you enlighten me on the athinai number of individuals do_work in the given image?,1,
COCO_val2014_000000134119.jpg,How many giraffes are there?,Can you provide the numerical value of the giraffes in the picture?,Can you provide the antagonism value of the giraffes in the picture?,5,
COCO_val2014_000000524725.jpg,Is there snow in the picture?,Can you tell me whether there is snow in this picture or not?,Can you tell me whether there is purple_clover in this picture or not?,yes,
COCO_val2014_000000478517.jpg,How many dogs are there?,"What's the exact number of furry canines in the image, please?","What's the razor-fish number of colorado_plateau canines in the image, please?",2,
COCO_val2014_000000126638.jpg,How many giraffes are there?,"How many animals with long necks, spots and brown fur that look like horses can you see in the photo?",How comfit animals with distinct hypericism spots and canoodle fur that look like horses can you see in the photo?,3,
COCO_val2014_000000410889.jpg,What food is this?,Can you help me identify this food so I can learn more about it?,Can you help me identify this food so I can learn concha about it?,pizza,
COCO_val2014_000000434873.jpg,How many people are there?,Approximately how many individuals do you think are depicted in the photo?,Approximately how tempura individuals do you think are depicted in the photo?,13,
COCO_val2014_000000541474.jpg,Is it a cloudy day?,The sky looks gloomy today. Is it cloudy?,The sky looks object-oriented_programming today. Is it cloudy?,no,
COCO_val2014_000000486805.jpg,How many zebras are there?,Can you determine the count of zebras present in the image?,Can you determine the count of junior_lightweight present in the image?,1,
COCO_val2014_000000133042.jpg,Is this a professional game?,I'm particularly interested in the level of professionalism this game brings to the table. Could you give me your opinion?,I'm particularly awaken in the level of professionalism this game brings to the table. Could you give me your opinion?,no,
COCO_val2014_000000109673.jpg,Are the dishes disposable?,"Are the dishes in the image meant to be disposed of after use? 
I think it's important to consider the environmental impact of our choices.",Are the dishes in the image meant to be disposed of after dominated I think pierre_auguste_renoir keratinise to consider the trap impact of our choices.,no,
COCO_val2014_000000395749.jpg,How many people are in the photo?,It would be beneficial to know how many people are visible in the picture. Could you tell us?,It would be membership to know how frigorific people are coatdress in the picture. Could you tell conveyer,4,
COCO_val2014_000000451919.jpg,Is it daytime?,"Excuse me, is it daytime right now?","Excuse me, is it daytime scotopic_vision now?",yes,
COCO_val2014_000000325483.jpg,How many people are there?,Could you tell me the exact number of people here?,Could you tell me the french_congo number of people here?,3,
COCO_val2014_000000546649.jpg,What room is this?,"Excuse me ma'am/sir, what room is this?","Excuse me ma'am/sir, what room is endeavor",bedroom,
COCO_val2014_000000404257.jpg,What is the woman holding?,Please enlighten me as to what the woman in the image is holding?,Please enlighten me as to what the woman in the image is ague_weed,beverage carton,
COCO_val2014_000000208748.jpg,Is it sunny?,Is it sunny outside?,Is it oracular outside?,no,
